group,component,n,spearman_rho,spearman_p,slope_per_10x_DA,HSI_mean_slope_per_10x_DA,share_of_HSI_mean_slope_pct,largest_aligned_contributor
chinook_juvenile_rearing,depth,727,0.2163892318821174,3.759884266364148e-09,0.029801070207970924,0.032076720394109,92.90560207471832,True
chinook_juvenile_rearing,velocity,727,-0.0901163999517489,0.01507514731139957,-0.0059327734775501215,0.032076720394109,-18.495573751485193,False
chinook_juvenile_rearing,substrate,727,0.0716955620298103,0.05332450510952669,0.008208423663688137,0.032076720394109,25.589971676766687,False
chinook_spawning_large_river,depth,727,0.8485332169476956,1.3572503055628276e-202,0.15044580422059853,0.06908330707994735,217.77446763875042,True
chinook_spawning_large_river,velocity,727,-0.4233896093807033,5.520205119582282e-33,-0.04884469216795897,0.06908330707994735,-70.70404448274742,False
chinook_spawning_large_river,substrate,727,-0.2736511290825068,5.933254106712585e-14,-0.03251780497269211,0.06908330707994735,-47.070423156002875,False
chinook_spawning_stream_river,depth,727,0.8789938472024701,2.203454024364536e-235,0.11038960825008662,0.028833865039838934,382.8470726958194,True
chinook_spawning_stream_river,velocity,727,-0.578940341560096,2.7539220169753e-66,-0.05405564024438512,0.028833865039838934,-187.4727518135289,False
chinook_spawning_stream_river,substrate,727,-0.2712901506990071,9.901975994589029e-14,-0.027500102965862593,0.028833865039838934,-95.3743208822906,False
salmonid_general_sensitivity,depth,727,0.6797237506729196,1.0965727098673144e-99,0.04412069956798145,0.03467678678784193,127.234105737417,True
salmonid_general_sensitivity,velocity,727,-0.30000737820400464,1.381607392168571e-16,-0.019895503665643004,0.03467678678784193,-57.37412692636963,False
salmonid_general_sensitivity,substrate,727,0.09842491350129354,0.007914187805989705,0.01045159088550349,0.03467678678784193,30.140021188952648,False
steelhead_juvenile_rearing,depth,727,0.1446797410523661,9.044397332214852e-05,0.023885707637664098,0.041397787125942276,57.698030005801726,True
steelhead_juvenile_rearing,velocity,727,0.1858224647964026,4.518472752297495e-07,0.011985359838345658,0.041397787125942276,28.9516920358164,False
steelhead_juvenile_rearing,substrate,727,0.06177324397768738,0.09605015036093556,0.005526719649932502,0.041397787125942276,13.35027795838183,False
steelhead_spawning,depth,727,0.8092052815448476,1.2820178461090108e-169,0.10868262506697408,0.035754906512267974,303.9656250525607,True
steelhead_spawning,velocity,727,-0.3597504058988156,1.23672965253749e-23,-0.033800883372908146,0.035754906512267974,-94.53495105996326,False
steelhead_spawning,substrate,727,-0.2747675293372904,4.648999225403806e-14,-0.039126835181798034,0.035754906512267974,-109.43067399259765,False
