group,COMID,DA_km2,D84_pred,HSI_mean,HSI_max,WUA_mean,HSI_cubic_root_mean,HSI_cubic_root_max,HSI_depth_contribution_mean,HSI_velocity_contribution_mean,HSI_substrate_contribution_mean,d.suit_mean,v.suit_mean,s.suit,GIFT_depth_mean_m,GIFT_velocity_mean_mps,bankfull_width_m,bankfull_depth_m,slope_m_per_m,summer_width_m,WUA_per_bankfull_width,WUA_per_summer_width
chinook_juvenile_rearing,23429054,30.3381,53.78132288134498,0.0099585250532845,0.0219690622334913,0.0425036526594137,0.1779242051661246,0.2800725247229936,-0.4726026381537364,-0.2110329615655885,-0.3064058752273905,0.0787655096485233,0.4811803967072125,0.3,0.1248961290640662,0.403824919220052,4.534552403349192,0.24333286885422614,0.00699074,2.1398815985806765,0.009373285140121167,0.01986261888863626
chinook_juvenile_rearing,23428950,36.0486,46.51693223274325,0.0229486944832299,0.0567599646942821,0.1096051277828501,0.235084986234336,0.3843091330653979,-0.4614588848289912,-0.1857307612121793,-0.3298616594755995,0.1250986214182479,0.5492957346748816,0.3,0.145098944439893,0.2720323444814981,5.052110231675987,0.29783984419034604,0.00197263,2.626945866622868,0.021694920094110795,0.04172340556212357
chinook_juvenile_rearing,23429060,11.5011,24.259138521627328,0.0158206007286455,0.0448932313830781,0.0403425382406538,0.2030988952978994,0.3554078005802071,-0.4914152289700921,-0.1716073705764143,-0.321156799724848,0.0776449038546973,0.5696569936911248,0.3,0.1107352324483559,0.198319269840765,2.6390810072683513,0.2194703390358503,0.00100628,1.1273269736140614,0.01528658579617129,0.03578601345031331
chinook_juvenile_rearing,23428370,4171.6071,181.8472018870702,0.1697044176920978,0.2294291904673389,3.1072356883743133,0.5255276962922736,0.6121852914706234,-0.3186618572446174,-0.337820990845223,-0.1738127342180616,0.5069625383519246,0.4844223811747415,0.7,0.40950203838448,0.4824431759907912,42.75968172875594,0.6655617891252277,0.00321055,34.761221441868194,0.0726674185295606,0.0893879892445839
chinook_juvenile_rearing,23428372,4135.7538,215.9956857020109,0.1405120190425202,0.2021357114552134,2.271105894718432,0.4988993782914556,0.5868778011184874,-0.2900455514962474,-0.4018684527826384,-0.1675739766785939,0.5407864882381993,0.4092301337836216,0.7,0.4409118159436709,0.633635588532458,44.91742102471108,0.6648799137538763,0.00602642,37.11267508387571,0.050561805261904846,0.0611948852941931
chinook_juvenile_rearing,23428374,245.1186,136.29460186975334,0.0348879072870377,0.061637574012821,0.4485244524008929,0.2951456465946755,0.3950164475612834,-0.4047432751349506,-0.3277032245114107,-0.2326655930666009,0.2748577100765035,0.3775777775745567,0.5,0.2408663725246631,0.615510041173945,15.629218360664705,0.4888515377903455,0.01152112,11.367199340136303,0.028697817258074146,0.03945778014266042
chinook_juvenile_rearing,23428376,42.3261,106.52535475251088,0.0034066771906426,0.00888471938959,0.021367967116527,0.1280748567687056,0.2071164396553269,-0.4512994550342763,-0.3448751718239512,-0.2004186959511297,0.1247492991852767,0.2666483434657101,0.5,0.1564749618855967,0.9061939003133428,7.299742004602583,0.3160904145277451,0.05060491,4.2894050294668995,0.0029272222364919494,0.004981568998435822
chinook_juvenile_rearing,23428378,35.8083,111.86827709577004,0.0023763020518609,0.0069208432265022,0.0143025018265396,0.1099074093055243,0.190569328577987,-0.4480773466644433,-0.3510660927390359,-0.1984802585446597,0.1214547778806314,0.2508031164478413,0.5,0.1548406290016273,0.9895714764165904,7.042575986952282,0.3130058947900089,0.06671557,4.156327376048738,0.0020308622658864765,0.0034411393840050306
chinook_juvenile_rearing,23428380,32.3109,112.20864472277589,0.0020389524455819,0.0062041617170275,0.0119361095230615,0.1026585193241513,0.1837501503831681,-0.4472035644828964,-0.3530697851354369,-0.1976876979360846,0.1192924298270376,0.2448041356236502,0.5,0.1537145628965256,1.0229465556175468,6.8429296787460885,0.3110826991764125,0.07306456,4.040460829370036,0.0017442981417936617,0.002954145585646602
chinook_juvenile_rearing,23428386,198.8946,158.44426343059632,0.0297717783085998,0.0608043755125802,0.3616463571564086,0.2792778346555125,0.3932284615269779,-0.4442169465229136,-0.3921075152951443,-0.1339037598733421,0.2658538802594222,0.3271590934685625,0.7,0.2369311310866081,0.7474810556531142,15.273636904297243,0.4812642885094599,0.02181159,11.231038700611288,0.02367781553420713,0.032200615347957505
chinook_juvenile_rearing,23428388,96.741,117.93619547517558,0.0133870094767598,0.027419700494276,0.1200562602492517,0.2107898079409056,0.3015464607741423,-0.4360266151344989,-0.3367403861712201,-0.2138459892175209,0.1901110970427537,0.3224927356604589,0.5,0.1920875329127212,0.7252773716043432,10.581246291891413,0.3990939740697478,0.02255046,6.982204847329607,0.011346136072955114,0.017194605840756456
chinook_juvenile_rearing,23428390,56.5461,100.9506561329685,0.0111488319551482,0.0221322856001136,0.0796221304445019,0.1962298531057582,0.2807644315252812,-0.4560929925052969,-0.3223086546741527,-0.210449520865402,0.1512099027280199,0.3295890198362121,0.5,0.1702540600685309,0.6888005710940179,8.098135945330183,0.35150701971724135,0.02204663,4.964452526174014,0.009832155323400846,0.01603845137499276
chinook_juvenile_rearing,23428392,47.5974,103.81974698287398,0.0082617769299969,0.0173023999408782,0.0561158765780113,0.1771740186932198,0.258643825701968,-0.4525911059777975,-0.3319043602160669,-0.2072427568761385,0.1464751568890173,0.3073908179046583,0.5,0.1681112048202051,0.7506104227260421,7.723666094545561,0.3449469849857669,0.02813208,4.723491251277594,0.007265445695230174,0.011880169474820824
chinook_juvenile_rearing,23428394,15.5934,91.40542681882846,0.0021393379238907,0.0058380555492374,0.0096611215028701,0.1076596211200248,0.1800622783390584,-0.4509235650226039,-0.3498436944926854,-0.19709340256082,0.1108951591638597,0.2456683198704178,0.5,0.149555198623755,0.979285749429602,5.013358832403508,0.28702751465784787,0.05484859,2.827868292486454,0.0019270756045679574,0.0034163972659332674
chinook_juvenile_rearing,23428396,6.2577,82.27232218434527,0.0006576868104589,0.0019986140052196,0.0021450400440886,0.066949024555834,0.1259629941972378,-0.4620418476186635,-0.3456488582197138,-0.1916516073511636,0.0709989442200974,0.2261895967520303,0.5,0.1252720991273446,1.0828342438612644,3.571983728518623,0.2525264139812323,0.09117474,1.9121194534426964,0.0006005178654546092,0.0011218127822644863
chinook_juvenile_rearing,23428398,36.1638,112.56924695744294,0.0038882743859588,0.010353262032945,0.025204006409638,0.133476569256271,0.2179511016841897,-0.4404838672622976,-0.3539095691710889,-0.2017182891806546,0.1448169875845378,0.2602493850394827,0.5,0.1680804641444798,0.9371719061975968,7.523308470141104,0.34962312419774416,0.04936229,4.739461679470964,0.0033501226899932345,0.0053179048833350544
chinook_juvenile_rearing,23428400,98.6211,125.6147554899036,0.026222038791979,0.0475607979745811,0.2554830100130452,0.2654946302268788,0.3623122718177737,-0.4136533322754001,-0.3348046405060685,-0.2253199884265523,0.246910058462468,0.3520416474882433,0.5,0.2241219039393646,0.6554307494299345,11.13720837204598,0.4440865013164854,0.01400473,7.786985384268548,0.02293959145581751,0.03280897515605693
chinook_juvenile_rearing,23428402,89.298,139.08110776821508,0.0184953926191268,0.0375319184396162,0.1782950028066868,0.2359744691769697,0.3348114136888767,-0.4052548039438139,-0.3564907424991566,-0.2197590609379025,0.2490542060927232,0.3140729546855997,0.5,0.226504952534933,0.7575977585730868,11.204722405378194,0.4455215183522834,0.02099049,7.952436836432484,0.01591248728492429,0.022420172140175228
chinook_juvenile_rearing,23428404,67.1733,128.86779200256854,0.0186542444283481,0.0369142718873796,0.1632907121342946,0.2365242944366557,0.3329646302087455,-0.4064079182841833,-0.3553391393012106,-0.2195986979862578,0.2462378464055356,0.314329551716166,0.5,0.2249400156693467,0.7524275026542204,9.942486197787776,0.4320460360311265,0.01909763,6.938232634416815,0.016423529174285113,0.023534914543553612
chinook_juvenile_rearing,23428406,27.8037,124.83028865985725,0.0048050866826534,0.0131398250650444,0.030519642773295,0.1417356943868309,0.2359734784488475,-0.4184697694189285,-0.3724918833286291,-0.2042332605697888,0.1851374659932266,0.2464413141136258,0.5,0.1914373181744475,1.00285442231495,7.217129198142312,0.36772163441702493,0.04857461,4.725613276132145,0.004228778775520708,0.006458345401948537
chinook_juvenile_rearing,23428408,9.4014,95.87975820007068,0.0009997431397969,0.0032005859367994,0.0041090510747156,0.074978084850426,0.147370253603482,-0.449053767929306,-0.3562459747481171,-0.1937005141827798,0.0983317366962924,0.2220754609378777,0.5,0.1423977590006953,1.124636471191528,4.585278321603537,0.2965798659837155,0.08791586,2.705239659001857,0.0008961399475699887,0.0015189231242572065
chinook_juvenile_rearing,23428410,33.309,141.70612492193925,0.0073740714188563,0.0187195327037925,0.0510630772511609,0.1669076125353651,0.2655206694708248,-0.4105683415493798,-0.3738092786281163,-0.2082483084036475,0.2102356656366633,0.2592477495316813,0.5,0.2054039346424478,0.9478018363961368,7.858079616753689,0.38586157144248157,0.04383381,5.277902254963902,0.006498162368104888,0.009674881190369857
chinook_juvenile_rearing,23428412,12.2589,120.84972021119388,0.0028793353856242,0.009200578850673,0.0138382724758807,0.1093677059326462,0.2095423051494336,-0.4020687905294159,-0.3932678209361703,-0.2017840531487893,0.1990783350593239,0.2108129611836515,0.5,0.2009882837279641,1.207464178355613,5.285041917275484,0.33137581676799943,0.063184,3.3086170878875607,0.0026183846206870825,0.004182494410290302
chinook_juvenile_rearing,23428414,3889.4355,185.01996607662736,0.1617423982330237,0.2200515944205734,2.8649844202787875,0.5167977011549713,0.6037282617717266,-0.3264411224817794,-0.34011334038846,-0.1717031388967367,0.4940133011846248,0.4779283389414712,0.7,0.3958039796372345,0.4925420584199572,41.34070713759396,0.6456476114311679,0.00370149,33.10999000514517,0.06930177586811183,0.08652930489660611
chinook_juvenile_rearing,23428416,3873.2409,209.0954032547555,0.1419702425459051,0.2005274784431533,2.304366790453807,0.498909671886091,0.585317215100807,-0.3059076736385031,-0.3846857918579947,-0.167436291957597,0.5178883569084121,0.4252082178266571,0.7,0.4168195049762147,0.5972227220064508,42.842518822344026,0.645209566929929,0.00579464,34.71110435507052,0.053786912016293285,0.0663870203287609
chinook_juvenile_rearing,23428418,3825.6903,215.9373650419644,0.1355817057575497,0.1948365731247804,2.14879188951116,0.4921009982060744,0.5797269554323546,-0.3018237853995753,-0.3965946116707081,-0.1659998971721668,0.5220583655048263,0.4105632757740817,0.7,0.4206455655363846,0.6270788593190775,43.06445724049431,0.6440049559597392,0.00656447,34.97238235167903,0.04989710836273145,0.06144253679669598
chinook_juvenile_rearing,23428420,3757.8618,179.95458639630158,0.1632338103107962,0.2223851240701622,2.9423471957795875,0.5168137158607228,0.6058548342776392,-0.3354474933585724,-0.3294605052139864,-0.1718581911166447,0.4818689958474863,0.4889125113117052,0.7,0.3850775282283716,0.4696079671747365,40.389130130918836,0.6403804207655285,0.00343612,32.132144044974524,0.07284997686858205,0.09157021055492783
chinook_juvenile_rearing,23428422,3755.187,197.1258944791128,0.1502313855185915,0.2075194108349613,2.552327973290156,0.5059428582641531,0.5920425337285149,-0.3207514805341664,-0.3599727824653534,-0.1690443514818886,0.4988986038694948,0.4527558957151573,0.7,0.3991752660715966,0.5406915080066949,41.51445716592881,0.6403061291738684,0.00478982,33.3179985601438,0.06148046120629197,0.07660508084490236
chinook_juvenile_rearing,23428424,3718.4031,214.56743879769303,0.1353582872432079,0.1941751234212874,2.158230423119196,0.4912617669811277,0.5790701742599231,-0.3071981021590447,-0.3916609301455946,-0.1657826804521526,0.5141418392081918,0.4147738062828389,0.7,0.4127609576167083,0.6170460293194348,42.44223633969696,0.639333463915761,0.00656096,34.32090373163677,0.05085100619687577,0.06288384594983012
