varied_input,varied_value_m,mean_modeled_depth_m,depth_suitability_mean,velocity_suitability_mean,shape_factor_used,fixed_median_width_m,fixed_median_depth_m,fixed_median_slope_m_per_m,fixed_median_D84_mm
bankfull_width_m,2.497922293203775,0.1298608706708257,0.2598739162142685,0.2912002426012827,0.09494385654211243,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,2.7295910011158036,0.12954122361416345,0.2590941247191853,0.28580864636518494,0.10374938289060634,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,2.956038907304301,0.12923726584106648,0.25839487598395944,0.28134183479191077,0.11235647110064319,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,3.209728256631882,0.12890657787155635,0.25767229148675935,0.2771851271079762,0.12199898290109125,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,3.404958772673986,0.12866015373979678,0.25711873044942546,0.2744120547457618,0.12941952522867917,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,3.6966281826673795,0.12830276952787298,0.2563498733020067,0.2708284478205405,0.14050562614361917,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,4.149555528202074,0.12778117845431614,0.255173248730282,0.2664239850075913,0.15772100111162574,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,4.575272488630664,0.1273285857313995,0.2541914372720733,0.26317346989936696,0.17390213297807602,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,4.980559838377383,0.12693502073440144,0.2533900088358999,0.2607955901622967,0.18930675308870903,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,5.571239685082857,0.1264285008472159,0.25225146682664523,0.2585664800018071,0.21175798096737647,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,6.254558385276011,0.12595872723367876,0.2512431563805443,0.2575675873772587,0.23773033119628292,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,6.8226089467014805,0.12567429462611887,0.2505891965797443,0.257975151694342,0.2593214395984074,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,7.530444417668645,0.1254683984935001,0.2501034958201751,0.26001317064884044,0.28622565098791786,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,8.300413678319298,0.12546285801893778,0.24996373803263214,0.26393237518512247,0.31549151375072254,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,9.227537390752088,0.12580716604372605,0.25058825029471576,0.2704470614672397,0.350730680713403,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,10.711667963672866,0.12735872124900768,0.253822586148593,0.280995199181609,0.4071411945986956,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_width_m,15.100346170440215,0.1443778625323898,0.29048368969696925,0.2573784168462448,0.5739510410084464,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.18448043331702899,0.08805034640955087,0.17225413191309125,0.34186673852940025,0.26997767453301175,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.19206424753152462,0.09174521537419376,0.1801783349493251,0.3333233050848664,0.25931738480166094,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.200118886908517,0.09568772717821053,0.18863531009966467,0.32435841888391564,0.24888004902077096,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.20820453947739936,0.09966259761848885,0.1970113193494309,0.3152648265783252,0.23921475731887312,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.21836133453529577,0.10467539097066678,0.20757527647647067,0.3043244441719072,0.22808799227100934,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.22613117154742884,0.10852276999602753,0.21562349716664175,0.2960575367740569,0.22025091915878384,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.2366850630628825,0.11376321658355477,0.22651893372442136,0.2854047855753579,0.21042983337964796,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.2525794373123877,0.12168196494127721,0.242676660893517,0.2702100107730016,0.19718785865444294,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.26309467343954157,0.12693502073440144,0.2533900088358999,0.2607955901622967,0.18930675308870903,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.2827125532382594,0.1367588374909546,0.2728841891094294,0.2446616045381345,0.17617045233148726,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.2973674085898853,0.14411414552707322,0.2872235915520091,0.23365152385790544,0.1674884232268483,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.3129338084584769,0.15193869761117712,0.3021355344667568,0.2230093145218488,0.1591569751734975,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.3257687874839253,0.15839867476608083,0.31423205471611376,0.21489610415308313,0.15288634239163085,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.3392118341455921,0.1651711990753499,0.326704942580959,0.20699263704449683,0.14682741983110448,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.35792058225811585,0.17460595160993447,0.3435304565037106,0.19694271553781645,0.13915265243912775,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.3906480359978512,0.19113151345404386,0.3718017420905135,0.1816510908957291,0.12749481321863804,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
bankfull_depth_m,0.477682988688013,0.23516707206503915,0.43912676887420804,0.15089036946489806,0.1042649614141967,4.980559838377383,0.26309467343954157,0.02278348,81.36655033322096
