group,DA_bin,n,DA_median_km2,HSI_mean_median,HSI_max_median,WUA_mean_median,bankfull_width_m_median,bankfull_depth_m_median,slope_m_per_m_median,D84_pred_median,GIFT_depth_mean_m_median,GIFT_velocity_mean_mps_median,d.suit_mean_median,v.suit_mean_median,s.suit_median,WUA_per_bankfull_width_median,WUA_per_summer_width_median
chinook_juvenile_rearing,1,146,5.3415,0.00086346486205005,0.00186405543162365,0.0021113794593841497,2.5528296070348455,0.18726013942184477,0.056386215,64.81263597010053,0.0901269722168236,0.6511750126028641,0.028067546676357448,0.33525993100538415,0.3,0.0008207395230177016,0.0019122741816218224
chinook_juvenile_rearing,2,145,11.3265,0.0024397452166426,0.0053031312153622,0.0080086185242412,3.4525766148406847,0.2167341440637001,0.03623425,73.41454171111847,0.1042824975056175,0.5901856121284362,0.0456087071869277,0.3614160682390584,0.3,0.002262998056119332,0.0047965547037866155
chinook_juvenile_rearing,3,145,26.2269,0.006904696306269,0.01406460397641,0.030519642773295,4.907359539215774,0.25672465985138493,0.02317624,81.8450154529441,0.1243547643128861,0.5269558222054403,0.0754772969342561,0.3928730305779569,0.5,0.006182447033554221,0.012096411539265155
chinook_juvenile_rearing,4,145,66.4416,0.0164133752870605,0.0302403653260559,0.1098984181349023,7.591002174511274,0.322116338850564,0.01518317,95.39182227065444,0.1564460009076959,0.5258321310415673,0.1282763027251741,0.4011259199745081,0.5,0.01494210102926014,0.0260165253335874
chinook_juvenile_rearing,5,146,366.40035,0.0435868429162191,0.08272336865219815,0.5280044124872297,15.118970799380282,0.4777474240446817,0.005591185,117.04539448848394,0.22781802241865975,0.399794208713282,0.2547633919843576,0.4599563072925912,0.5,0.03647987684193428,0.05783361374174662
chinook_spawning_large_river,1,146,5.3415,0.021984141333799,0.06297304810199644,0.053644845210142705,2.5528296070348455,0.18726013942184477,0.056386215,64.81263597010053,0.0901269722168236,0.6511750126028641,0.04871068653931945,0.5205633728500281,1.0,0.021189158419761465,0.04749668215747532
chinook_spawning_large_river,2,145,11.3265,0.042329382258108,0.1218276205706677,0.1475481356592827,3.4525766148406847,0.2167341440637001,0.03623425,73.41454171111847,0.1042824975056175,0.5901856121284362,0.0823169901209871,0.524754224519069,1.0,0.04028522782204184,0.0854959060871504
chinook_spawning_large_river,3,145,26.2269,0.081614089500765,0.2197506604395491,0.3878733421226922,4.907359539215774,0.25672465985138493,0.02317624,81.8450154529441,0.1243547643128861,0.5269558222054403,0.1359287878077807,0.5103249632125301,1.0,0.07642056360516174,0.14992457833715592
chinook_spawning_large_river,4,145,66.4416,0.1401611542270582,0.3341972965962891,0.984686064341373,7.591002174511274,0.322116338850564,0.01518317,95.39182227065444,0.1564460009076959,0.5258321310415673,0.2161242567302218,0.4998035866144376,1.0,0.12829753101488683,0.22369279671774323
chinook_spawning_large_river,5,146,366.40035,0.17268911952213056,0.40046562955679055,1.8214257500605033,15.118970799380282,0.4777474240446817,0.005591185,117.04539448848394,0.22781802241865975,0.399794208713282,0.3575673917435289,0.47999216114985593,1.0,0.14569543628475837,0.2260218414955725
chinook_spawning_stream_river,1,146,5.3415,0.0359543972785137,0.08477087792746285,0.08877568665840485,2.5528296070348455,0.18726013942184477,0.056386215,64.81263597010053,0.0901269722168236,0.6511750126028641,0.1120825269408468,0.30444759766146084,1.0,0.034118981749786836,0.07837479281731642
chinook_spawning_stream_river,2,145,11.3265,0.0574155601508053,0.1353377019662864,0.1929366682683595,3.4525766148406847,0.2167341440637001,0.03623425,73.41454171111847,0.1042824975056175,0.5901856121284362,0.1569322912464577,0.3099652749008327,1.0,0.05450411736621886,0.11608647647092869
chinook_spawning_stream_river,3,145,26.2269,0.0883539706092524,0.2111512690423131,0.4145872574617839,4.907359539215774,0.25672465985138493,0.02317624,81.8450154529441,0.1243547643128861,0.5269558222054403,0.2190196962374917,0.2981700476655188,1.0,0.08263102239182907,0.1617447008234909
chinook_spawning_stream_river,4,145,66.4416,0.1227851843163697,0.2772998928530147,0.8520229107616714,7.591002174511274,0.322116338850564,0.01518317,95.39182227065444,0.1564460009076959,0.5258321310415673,0.2990286847354445,0.2878972699475199,1.0,0.11083026009949005,0.1986351448708331
chinook_spawning_stream_river,5,146,366.40035,0.10732566438211025,0.2701167121855413,1.3005238399706815,15.118970799380282,0.4777474240446817,0.005591185,117.04539448848394,0.22781802241865975,0.399794208713282,0.3890609387174194,0.26580123865591804,1.0,0.08538918334749199,0.11480806864196971
salmonid_general_sensitivity,1,146,5.3415,0.00795545219541735,0.022313307480197497,0.0185493646629616,2.5528296070348455,0.18726013942184477,0.056386215,64.81263597010053,0.09152484019468135,0.6624819353072147,0.175045628782351,0.2273661926352592,0.3,0.007225827427740751,0.016527543935805127
salmonid_general_sensitivity,2,145,11.3265,0.0133987160680984,0.0354780142863669,0.0432586144135023,3.4525766148406847,0.2167341440637001,0.03623425,73.41454171111847,0.1050362700042834,0.6064345455506641,0.2059093431459827,0.2449572692498602,0.3,0.01188676840267773,0.02554064350857945
salmonid_general_sensitivity,3,145,26.2269,0.0231250189705133,0.0562408249577015,0.102152246500209,4.907359539215774,0.25672465985138493,0.02317624,81.8450154529441,0.1240031009332996,0.5345348343808828,0.2479849310706625,0.2684806759201902,0.5,0.02031160205556872,0.04066219300113146
salmonid_general_sensitivity,4,145,66.4416,0.0373593643899393,0.0784910547083019,0.2406195812946686,7.591002174511274,0.322116338850564,0.01518317,95.39182227065444,0.1543296733455618,0.5205214021315777,0.3107925824336205,0.2779941630859646,0.5,0.03176621180272607,0.05694634734479322
salmonid_general_sensitivity,5,146,366.40035,0.06361620504338415,0.11960113593237995,0.709798999026641,15.118970799380282,0.4777474240446817,0.005591185,117.04539448848394,0.22778821082311115,0.3984594226468299,0.42540726195239204,0.3270340390088168,0.5,0.04950210865050374,0.08048650493318593
steelhead_juvenile_rearing,1,146,5.3415,0.0034704644618358,0.0061780965221844,0.0084205305130618,2.5528296070348455,0.18726013942184477,0.056386215,64.81263597010053,0.0901269722168236,0.6511750126028641,0.04829809033949985,0.45911774449797665,0.3,0.003222418205017518,0.007443150568378295
steelhead_juvenile_rearing,2,145,11.3265,0.0067624451083439,0.0120697814982398,0.0225211076993746,3.4525766148406847,0.2167341440637001,0.03623425,73.41454171111847,0.1042824975056175,0.5901856121284362,0.0679578219590987,0.4955296434632373,0.3,0.006216066067278252,0.013261642514155498
steelhead_juvenile_rearing,3,145,26.2269,0.013907537527258,0.0253081236821649,0.0625957156816009,4.907359539215774,0.25672465985138493,0.02317624,81.8450154529441,0.1243547643128861,0.5269558222054403,0.1002939640179242,0.5357652647574007,0.5,0.01279945208954608,0.02507063240002527
steelhead_juvenile_rearing,4,145,66.4416,0.0277770790761877,0.0484674825945967,0.1913526755372631,7.591002174511274,0.322116338850564,0.01518317,95.39182227065444,0.1564460009076959,0.5258321310415673,0.152554508529374,0.5442086213385651,0.5,0.024639662109302657,0.04430219753231006
