depth,suit
0.000000,0.0000
0.010000,0.0000
0.020000,0.0000
0.030000,0.0000
0.040000,0.0000
0.050000,0.0000
0.060000,0.0000
0.070000,0.0000
0.080000,0.0000
0.090000,0.0000
0.100000,0.0000
0.110000,0.0000
0.120000,0.0000
0.130000,0.0000
0.140000,0.0000
0.150000,0.0000
0.160000,0.0000
0.170000,0.0000
0.180000,0.0000
0.190000,0.0000
0.198120,0.0000
0.200000,0.0154
0.210000,0.0974
0.220000,0.1795
0.228600,0.2500
0.230000,0.2540
0.240000,0.2822
0.250000,0.3104
0.260000,0.3386
0.270000,0.3668
0.280000,0.3950
0.290000,0.4232
0.300000,0.4515
0.310000,0.4797
0.320000,0.5079
0.330000,0.5361
0.340000,0.5643
0.350000,0.5925
0.360000,0.6207
0.370000,0.6490
0.380000,0.6772
0.381000,0.6800
0.390000,0.6957
0.400000,0.7132
0.410000,0.7307
0.420000,0.7482
0.430000,0.7657
0.440000,0.7832
0.450000,0.8007
0.460000,0.8182
0.470000,0.8357
0.480000,0.8532
0.490000,0.8707
0.500000,0.8882
0.510000,0.9057
0.520000,0.9232
0.530000,0.9407
0.540000,0.9582
0.550000,0.9757
0.560000,0.9932
0.563880,1.0000
0.570000,1.0000
0.580000,1.0000
0.590000,1.0000
0.600000,1.0000
0.610000,1.0000
0.620000,1.0000
0.630000,1.0000
0.640000,1.0000
0.650000,1.0000
0.660000,1.0000
0.670000,1.0000
0.680000,1.0000
0.690000,1.0000
0.700000,1.0000
0.710000,1.0000
0.716280,1.0000
0.720000,0.9799
0.730000,0.9257
0.740000,0.8716
0.750000,0.8175
0.760000,0.7633
0.770000,0.7092
0.780000,0.6551
0.790000,0.6009
0.800000,0.5468
0.810000,0.4927
0.820000,0.4385
0.830000,0.3844
0.838200,0.3400
30.175200,0.3400
