velocity,suit
0.000000,0.0000
0.010000,0.0000
0.020000,0.0000
0.030000,0.0000
0.040000,0.0000
0.050000,0.0000
0.060000,0.0000
0.070000,0.0000
0.080000,0.0000
0.090000,0.0000
0.100000,0.0000
0.110000,0.0000
0.120000,0.0000
0.130000,0.0000
0.140000,0.0000
0.150000,0.0000
0.160000,0.0000
0.167640,0.0000
0.170000,0.0306
0.180000,0.1602
0.190000,0.2898
0.200000,0.4194
0.210000,0.5490
0.220000,0.6785
0.228600,0.7900
0.230000,0.7912
0.240000,0.7998
0.250000,0.8084
0.260000,0.8170
0.270000,0.8257
0.280000,0.8343
0.290000,0.8429
0.300000,0.8515
0.310000,0.8601
0.320000,0.8687
0.330000,0.8773
0.340000,0.8859
0.350000,0.8946
0.360000,0.9032
0.370000,0.9118
0.380000,0.9204
0.390000,0.9290
0.400000,0.9376
0.410000,0.9462
0.420000,0.9548
0.430000,0.9634
0.440000,0.9721
0.450000,0.9807
0.460000,0.9893
0.470000,0.9979
0.472440,1.0000
0.480000,1.0000
0.490000,1.0000
0.500000,1.0000
0.510000,1.0000
0.520000,1.0000
0.530000,1.0000
0.540000,1.0000
0.550000,1.0000
0.560000,1.0000
0.570000,1.0000
0.580000,1.0000
0.590000,1.0000
0.600000,1.0000
0.610000,1.0000
0.620000,1.0000
0.630000,1.0000
0.640000,1.0000
0.650000,1.0000
0.660000,1.0000
0.670000,1.0000
0.680000,1.0000
0.690000,1.0000
0.700000,1.0000
0.710000,1.0000
0.720000,1.0000
0.730000,1.0000
0.740000,1.0000
0.750000,1.0000
0.760000,1.0000
0.770000,1.0000
0.780000,1.0000
0.790000,1.0000
0.800000,1.0000
0.810000,1.0000
0.820000,1.0000
0.830000,1.0000
0.840000,1.0000
0.850000,1.0000
0.860000,1.0000
0.870000,1.0000
0.880000,1.0000
0.890000,1.0000
0.900000,1.0000
0.910000,1.0000
0.920000,1.0000
0.930000,1.0000
0.940000,1.0000
0.950000,1.0000
0.960000,1.0000
0.970000,1.0000
0.980000,1.0000
0.990000,1.0000
1.000000,1.0000
1.010000,1.0000
1.020000,1.0000
1.030000,1.0000
1.040000,1.0000
1.050000,1.0000
1.060000,1.0000
1.070000,1.0000
1.080000,1.0000
1.082040,1.0000
1.090000,0.9813
1.100000,0.9579
1.110000,0.9345
1.120000,0.9110
1.130000,0.8876
1.140000,0.8642
1.150000,0.8407
1.160000,0.8173
1.170000,0.7939
1.180000,0.7704
1.190000,0.7470
1.200000,0.7236
1.210000,0.7001
1.220000,0.6767
1.230000,0.6533
1.240000,0.6298
1.250000,0.6064
1.260000,0.5830
1.270000,0.5595
1.280000,0.5361
1.290000,0.5127
1.300000,0.4892
1.310000,0.4658
1.320000,0.4424
1.330000,0.4189
1.340000,0.3955
1.350000,0.3720
1.360000,0.3486
1.370000,0.3252
1.380000,0.3017
1.390000,0.2783
1.400000,0.2549
1.410000,0.2314
1.420000,0.2080
1.430000,0.1846
1.440000,0.1611
1.450000,0.1377
1.460000,0.1143
1.470000,0.0908
1.480000,0.0674
1.490000,0.0440
1.500000,0.0205
1.508760,0.0000
1.510000,0.0000
1.520000,0.0000
1.530000,0.0000
1.540000,0.0000
1.550000,0.0000
1.560000,0.0000
1.570000,0.0000
1.580000,0.0000
1.590000,0.0000
1.600000,0.0000
1.610000,0.0000
1.620000,0.0000
1.630000,0.0000
1.640000,0.0000
1.650000,0.0000
1.660000,0.0000
1.670000,0.0000
1.680000,0.0000
1.690000,0.0000
1.700000,0.0000
1.710000,0.0000
1.720000,0.0000
1.730000,0.0000
1.740000,0.0000
1.750000,0.0000
1.760000,0.0000
1.770000,0.0000
1.780000,0.0000
1.790000,0.0000
1.800000,0.0000
1.810000,0.0000
1.820000,0.0000
1.830000,0.0000
1.840000,0.0000
1.850000,0.0000
1.860000,0.0000
1.870000,0.0000
1.880000,0.0000
1.890000,0.0000
1.900000,0.0000
1.910000,0.0000
1.920000,0.0000
1.930000,0.0000
1.940000,0.0000
1.950000,0.0000
1.960000,0.0000
1.970000,0.0000
1.980000,0.0000
1.990000,0.0000
1.996440,0.0000
2.000000,0.0000
2.010000,0.0000
2.020000,0.0000
2.030000,0.0000
2.040000,0.0000
2.050000,0.0000
2.060000,0.0000
2.070000,0.0000
2.080000,0.0000
2.090000,0.0000
2.100000,0.0000
2.110000,0.0000
2.120000,0.0000
2.130000,0.0000
2.133600,0.0000
30.175200,0.0000
