depth,suit
0.0,0.0
0.05,0.056123817
0.1,0.182926147
0.15,0.298945902
0.2,0.409948603
0.25,0.513289293
0.3,0.609778771
0.35,0.696102428
0.4,0.769697393
0.45,0.8372626
0.5,0.891180821
0.55,0.97187865
0.6,0.957188273
0.65,1.0
0.7,0.987487073
0.75,0.997916752
0.8,0.987178199
0.85,0.97719558
0.9,0.967883019
0.95,0.959167246
1.0,0.950985469
1.05,0.943283616
1.1,0.936014895
1.15,0.929138616
1.2,0.922619231
1.25,0.916425539
1.3,0.910530041
1.35,0.904908393
1.4,0.899538965
1.45,0.894402465
1.5,0.889481624
1.55,0.884760932
1.6,0.880226417
1.65,0.875865453
1.7,0.871666596
1.75,0.867619449
1.8,0.863714536
1.85,0.859943207
1.9,0.85629754
1.95,0.852770268
2.0,0.84935471
