velocity,suit
0.000000,0.0000
0.010000,0.0000
0.020000,0.0000
0.030000,0.0000
0.040000,0.0000
0.050000,0.0000
0.060000,0.0000
0.070000,0.0000
0.076200,0.0000
0.080000,0.0125
0.090000,0.0453
0.100000,0.0781
0.106680,0.1000
0.110000,0.1031
0.120000,0.1125
0.130000,0.1219
0.140000,0.1312
0.150000,0.1406
0.160000,0.1500
0.170000,0.1594
0.180000,0.1687
0.190000,0.1781
0.200000,0.1875
0.210000,0.1969
0.220000,0.2062
0.230000,0.2156
0.240000,0.2250
0.250000,0.2343
0.260000,0.2437
0.270000,0.2531
0.280000,0.2625
0.290000,0.2718
0.300000,0.2812
0.310000,0.2906
0.320000,0.3000
0.320040,0.3000
0.330000,0.3632
0.340000,0.4266
0.350000,0.4900
0.360000,0.5535
0.370000,0.6169
0.380000,0.6803
0.390000,0.7438
0.400000,0.8072
0.410000,0.8706
0.411480,0.8800
0.420000,0.8968
0.430000,0.9165
0.440000,0.9361
0.450000,0.9558
0.460000,0.9755
0.470000,0.9952
0.472440,1.0000
0.480000,1.0000
0.490000,1.0000
0.500000,1.0000
0.510000,1.0000
0.520000,1.0000
0.530000,1.0000
0.540000,1.0000
0.550000,1.0000
0.560000,1.0000
0.570000,1.0000
0.580000,1.0000
0.590000,1.0000
0.594360,1.0000
0.600000,0.9946
0.610000,0.9850
0.620000,0.9754
0.630000,0.9658
0.640000,0.9562
0.650000,0.9466
0.660000,0.9371
0.670000,0.9275
0.680000,0.9179
0.690000,0.9083
0.700000,0.8987
0.710000,0.8891
0.720000,0.8795
0.730000,0.8699
0.740000,0.8603
0.750000,0.8507
0.760000,0.8411
0.770000,0.8316
0.780000,0.8220
0.790000,0.8124
0.800000,0.8028
0.810000,0.7932
0.820000,0.7836
0.830000,0.7740
0.840000,0.7644
0.850000,0.7548
0.860000,0.7452
0.870000,0.7357
0.880000,0.7261
0.890000,0.7165
0.900000,0.7069
0.910000,0.6973
0.920000,0.6877
0.930000,0.6781
0.940000,0.6685
0.950000,0.6589
0.960000,0.6493
0.970000,0.6398
0.980000,0.6302
0.990000,0.6206
0.990600,0.6200
1.000000,0.5676
1.010000,0.5118
1.020000,0.4560
1.030000,0.4002
1.040000,0.3445
1.050000,0.2887
1.051560,0.2800
1.060000,0.2750
1.070000,0.2691
1.080000,0.2631
1.090000,0.2572
1.100000,0.2513
1.110000,0.2454
1.120000,0.2394
1.130000,0.2335
1.140000,0.2276
1.150000,0.2217
1.160000,0.2157
1.170000,0.2098
1.180000,0.2039
1.190000,0.1980
1.200000,0.1920
1.210000,0.1861
1.220000,0.1802
1.230000,0.1742
1.240000,0.1683
1.250000,0.1624
1.260000,0.1565
1.270000,0.1505
1.280000,0.1446
1.290000,0.1387
1.300000,0.1328
1.310000,0.1268
1.320000,0.1209
1.330000,0.1150
1.340000,0.1091
1.350000,0.1031
1.360000,0.0972
1.370000,0.0913
1.380000,0.0853
1.390000,0.0794
1.400000,0.0735
1.410000,0.0676
1.420000,0.0616
1.430000,0.0557
1.440000,0.0498
1.450000,0.0439
1.460000,0.0379
1.470000,0.0320
1.480000,0.0261
1.490000,0.0202
1.500000,0.0142
1.510000,0.0083
1.520000,0.0024
1.524000,0.0000
30.175200,0.0000
