velocity,suit
0.000000,0.0000
0.010000,0.0000
0.020000,0.0000
0.030000,0.0000
0.040000,0.0000
0.050000,0.0000
0.060000,0.0000
0.070000,0.0000
0.080000,0.0000
0.090000,0.0000
0.100000,0.0000
0.110000,0.0000
0.120000,0.0000
0.130000,0.0000
0.140000,0.0000
0.150000,0.0000
0.160000,0.0000
0.167640,0.0000
0.170000,0.0077
0.180000,0.0406
0.190000,0.0734
0.198120,0.1000
0.200000,0.1012
0.210000,0.1078
0.220000,0.1144
0.230000,0.1209
0.240000,0.1275
0.250000,0.1340
0.260000,0.1406
0.270000,0.1472
0.280000,0.1537
0.290000,0.1603
0.300000,0.1669
0.310000,0.1734
0.320000,0.1800
0.330000,0.1865
0.340000,0.1931
0.350000,0.1997
0.350520,0.2000
0.360000,0.2226
0.370000,0.2465
0.380000,0.2703
0.390000,0.2942
0.400000,0.3181
0.410000,0.3419
0.420000,0.3658
0.430000,0.3896
0.440000,0.4135
0.450000,0.4374
0.460000,0.4612
0.470000,0.4851
0.480000,0.5089
0.490000,0.5328
0.500000,0.5567
0.510000,0.5805
0.520000,0.6044
0.530000,0.6283
0.540000,0.6521
0.550000,0.6760
0.560000,0.6998
0.570000,0.7237
0.580000,0.7476
0.590000,0.7714
0.600000,0.7953
0.610000,0.8191
0.620000,0.8430
0.630000,0.8669
0.640000,0.8907
0.650000,0.9146
0.660000,0.9384
0.670000,0.9623
0.680000,0.9862
0.685800,1.0000
0.690000,1.0000
0.700000,1.0000
0.710000,1.0000
0.716280,1.0000
0.720000,0.9956
0.730000,0.9839
0.740000,0.9722
0.750000,0.9605
0.760000,0.9488
0.770000,0.9371
0.780000,0.9253
0.790000,0.9136
0.800000,0.9019
0.810000,0.8902
0.820000,0.8785
0.830000,0.8668
0.840000,0.8550
0.850000,0.8433
0.860000,0.8316
0.870000,0.8199
0.880000,0.8082
0.890000,0.7964
0.900000,0.7847
0.910000,0.7730
0.920000,0.7613
0.930000,0.7496
0.940000,0.7379
0.950000,0.7261
0.960000,0.7144
0.970000,0.7027
0.980000,0.6910
0.990000,0.6793
1.000000,0.6676
1.010000,0.6558
1.020000,0.6441
1.030000,0.6324
1.040000,0.6207
1.050000,0.6090
1.060000,0.5973
1.070000,0.5855
1.080000,0.5738
1.090000,0.5621
1.100000,0.5504
1.110000,0.5387
1.120000,0.5269
1.130000,0.5152
1.140000,0.5035
1.143000,0.5000
1.150000,0.4311
1.160000,0.3327
1.170000,0.2343
1.173480,0.2000
1.180000,0.1963
1.190000,0.1906
1.200000,0.1849
1.210000,0.1792
1.220000,0.1735
1.230000,0.1678
1.240000,0.1620
1.250000,0.1563
1.260000,0.1506
1.270000,0.1449
1.280000,0.1392
1.290000,0.1335
1.300000,0.1278
1.310000,0.1221
1.320000,0.1164
1.330000,0.1107
1.340000,0.1050
1.350000,0.0993
1.360000,0.0936
1.370000,0.0879
1.380000,0.0822
1.390000,0.0765
1.400000,0.0708
1.410000,0.0650
1.420000,0.0593
1.430000,0.0536
1.440000,0.0479
1.450000,0.0422
1.460000,0.0365
1.470000,0.0308
1.480000,0.0251
1.490000,0.0194
1.500000,0.0137
1.510000,0.0080
1.520000,0.0023
1.524000,0.0000
30.175200,0.0000
