depth,suit
0.000000,0.0000
0.010000,0.0000
0.020000,0.0000
0.030000,0.0000
0.040000,0.0000
0.050000,0.0000
0.060000,0.0000
0.070000,0.0000
0.080000,0.0000
0.090000,0.0000
0.100000,0.0000
0.110000,0.0000
0.120000,0.0000
0.130000,0.0000
0.137160,0.0000
0.140000,0.0047
0.150000,0.0211
0.160000,0.0375
0.170000,0.0539
0.180000,0.0703
0.190000,0.0867
0.200000,0.1031
0.210000,0.1195
0.220000,0.1359
0.230000,0.1523
0.240000,0.1687
0.250000,0.1851
0.260000,0.2015
0.270000,0.2179
0.280000,0.2343
0.290000,0.2507
0.300000,0.2671
0.310000,0.2835
0.320000,0.2999
0.320040,0.3000
0.330000,0.3300
0.340000,0.3600
0.350000,0.3901
0.360000,0.4202
0.370000,0.4503
0.380000,0.4803
0.390000,0.5104
0.400000,0.5405
0.410000,0.5705
0.420000,0.6006
0.430000,0.6307
0.440000,0.6608
0.450000,0.6908
0.460000,0.7209
0.470000,0.7510
0.480000,0.7811
0.490000,0.8111
0.500000,0.8412
0.502920,0.8500
0.510000,0.8558
0.520000,0.8640
0.530000,0.8722
0.540000,0.8804
0.550000,0.8886
0.560000,0.8968
0.570000,0.9050
0.580000,0.9132
0.590000,0.9214
0.600000,0.9296
0.610000,0.9378
0.620000,0.9460
0.624840,0.9500
0.630000,0.9521
0.640000,0.9562
0.650000,0.9603
0.660000,0.9644
0.670000,0.9685
0.680000,0.9726
0.690000,0.9767
0.700000,0.9808
0.710000,0.9849
0.720000,0.9890
0.730000,0.9931
0.740000,0.9972
0.746760,1.0000
30.175200,1.0000
